room_code,room_type,capacity,building
B09 F1.09,lab,15,B09
B09 F1.12,lab,15,B09
B07 F1.01,lab,25,B07
B07 F1.02,lab,25,B07
B07 F1.20,lab,25,B07
B07 F1.21,lab,25,B07
B07 F1.22,lab,25,B07
B07 F1.23,lab,25,B07
B07 F1.24,lab,25,B07
B08 F1.06,lab,50,B08
B08 F1.07,lab,25,B08
B08 F1.10,lab,25,B08
B08 F1.11,lab,25,B08
B08 F1.25,lab,25,B08
B09 F1.04,lab,25,B09
B09 F1.05,lab,25,B09
B09 F1.13,lab,25,B09
B09 F1.14,lab,25,B09
B09 F1.22,lab,25,B09
B10 F1.06,lab,25,B10
B10 F1.07,lab,25,B10
B10 F1.08,lab,25,B10
B10 F1.10,lab,25,B10
B10 F1.11,lab,25,B10
B10 F1.18,lab,25,B10
B17 F1.03,lec,75,B17
B17 F1.08,lab,25,B17
B17 F1.09,lab,25,B17
B17 F1.13,lab,25,B17
B17 F1.14,lab,25,B17
B17 F1.15,lec,75,B17
B17 F1.16,lec,75,B17
B17 F1.17,lab,25,B17
B17 F1.18,lab,25,B17
B17 G.02,lab,25,B17
B17 G.04,lab,25,B17
B17 G.07,lab,25,B17
B17 G.08,lab,25,B17
B17 G.09,lec,75,B17
B17 G.12,lab,25,B17
B17 G.19,lab,25,B17
B17 G.20,lab,25,B17
B17 G.21,lab,25,B17
B18 F1.01,lab,50,B18
B18 F1.02,lab,25,B18
B18 F1.05,lab,50,B18
B18 F1.08,lab,25,B18
B18 F1.10,lab,50,B18
B18 F1.12,lab,25,B18
B18 F1.13,lab,25,B18
B18 F1.14,lab,50,B18
B18 F1.19,lab,50,B18
B18 F1.20,lab,25,B18
B18 F1.21,lec,100,B18
B18 G.02,lab,25,B18
B18 G.03,lab,25,B18
B18 G.04,lab,25,B18
B18 G.07,lab,25,B18
B18 G.08,lec,75,B18
B18 G.09,lab,50,B18
B18 G.11,lab,25,B18
B18 G.12,lab,25,B18
B18 G.13,lab,50,B18
B18 G.16,lab,25,B18
B18 G.18,lab,50,B18
B18 G.19,lab,25,B18
B18 G.20,lab,25,B18
B18 G.21,lab,50,B18
B25 F1.10,lab,25,B25
B25 F1.11,lab,25,B25
B25 F1.13,lab,25,B25
B25 F1.14,lab,25,B25
B25 F1.18,lab,25,B25
B25 F1.19,lec,100,B25
B25 G.02,lab,25,B25
B25 G.04,lab,25,B25
B25 G.05,lab,25,B25
B25 G.13,lab,50,B25
B25 G.16,lab,25,B25
B25 G.17,lab,25,B25
B25 G.21,lec,100,B25
B26 F1.01,lec,75,B26
B26 F1.02,lab,25,B26
B26 F1.03,lab,25,B26
B26 F1.04,lab,25,B26
B26 F1.08,lec,75,B26
B26 F1.10,lec,75,B26
B26 F1.12,lab,25,B26
B26 F1.13,lec,75,B26
B26 F1.16,lec,75,B26
B26 F1.19,lab,25,B26
B26 G.01,lab,50,B26
B26 G.02,lab,50,B26
B26 G.03,lab,25,B26
B26 G.04,lab,25,B26
B26 G.06,lab,25,B26
B26 G.07,lab,25,B26
B26 G.08,lec,75,B26
B26 G.10,lab,25,B26
B26 G.11,lab,50,B26
B26 G.12,lab,25,B26
B26 G.13,lab,25,B26
B26 G.14,lab,50,B26
B26 G.18,lab,25,B26
B26 G.19,lab,50,B26
B26 G.20,lab,25,B26
B26 G.21,lec,75,B26
B26 G.22,lec,100,B26
CoE F1.12,lab,50,CoE
B07 G.01,lec,75,B07
B08 G.41,lec,75,B08
B09 G.35,lec,75,B09
B7 Theater,lec,100,B7
B8 Theater,lec,100,B8
B9 Theater,lec,100,B9
B10 Theater,lec,100,B10
Hall - Blue,lec,150,Hall
Hall - Green,lec,150,Hall
Hall - Red,lec,150,Hall
Hall - Yellow,lec,150,Hall
CEO.PHYLAB,lab,25,CEO
LEC.HALL.01,lec,100,Main
LEC.HALL.02,lec,100,Main
LAB.COMP.01,lab,30,B7
LAB.COMP.02,lab,30,B7
LAB.COMP.03,lab,30,B7
LAB.COMP.04,lab,30,B8
LAB.COMP.05,lab,30,B8
LEC.HALL.03,lec,80,B7
